Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset
2,2007-05-01,84,52,68,,51,57,0, 3,,
2,2007-05-02,60,43,52,,42,47,13, 0,,
2,2007-05-03,67,48,58,,40,50,7, 0,,
2,2007-05-04,78,51,,,42,50,,,,
2,2007-05-05,66,54,60,,39,50,5, 0,,
2,2007-05-06,68,52,60,,30,46,5, 0,,
2,2007-05-07,84,50,67,,39,53,0, 2,,
2,2007-05-08,80,60,70,,57,63,0, 5,,
2,2007-05-09,76,63,70,,60,63,0, 5,,
2,2007-05-10,83,59,71,,52,61,0, 6,,
2,2007-05-11,73,49,61,,44,51,4, 0,,
2,2007-05-12,65,47,56,,37,46,9, 0,,
2,2007-05-13,69,44,57,,32,46,8, 0,,
2,2007-05-14,90,54,72,,45,58,0, 7,,
2,2007-05-15,82,56,69,,56,61,0, 4,,
2,2007-05-16,64,45,55,,42,47,10, 0,,
2,2007-05-17,61,44,53,,32,43,12, 0,,
2,2007-05-18,70,43,57,,31,47,8, 0,,
2,2007-05-19,80,56,68,,37,53,0, 3,,
2,2007-05-20,69,44,57,,41,45,8, 0,,
2,2007-05-21,79,46,63,,50,57,2, 0,,
2,2007-05-22,87,60,74,,44,58,0, 9,,
2,2007-05-23,89,66,78,,48,61,0,13,,
2,2007-05-24,88,66,77,,53,63,0,12,,
2,2007-05-25,66,57,62,,46,53,3, 0,,
2,2007-05-26,70,50,60,,55,57,5, 0,,
2,2007-05-27,75,59,67,,49,57,0, 2,,
2,2007-05-28,76,54,65,,49,57,0, 0,,
2,2007-05-29,88,65,77,,59,66,0,12,,
2,2007-05-30,89,70,80,,57,66,0,15,,
2,2007-05-31,80,68,74,,61,66,0, 9,,
2,2007-06-01,86,67,77,,63,67,0,12,,
2,2007-06-02,81,68,75,,62,67,0,10,,
2,2007-06-03,77,64,71,,60,64,0, 6,,
2,2007-06-04,72,56,64,,57,60,1, 0,,
2,2007-06-05,63,51,57,,47,52,8, 0,,
2,2007-06-06,73,48,61,,47,55,4, 0,,
2,2007-06-07,92,71,82,,61,68,0,17,,
2,2007-06-08,81,63,72,,54,62,0, 7,,
2,2007-06-09,79,57,68,,49,58,0, 3,,
2,2007-06-10,81,61,71,,50,60,0, 6,,
2,2007-06-11,85,65,75,,51,61,0,10,,
2,2007-06-12,82,66,74,,51,61,0, 9,,
2,2007-06-13,86,68,77,,53,62,0,12,,
2,2007-06-14,89,68,79,,54,63,0,14,,
2,2007-06-15,89,67,78,,56,65,0,13,,
2,2007-06-16,92,68,80,,61,68,0,15,,
